Date,NAV
2020-01-01,100.1193
2020-01-02,100.1117
2020-01-03,100.2614
2020-01-06,100.5868
2020-01-07,100.5599
2020-01-08,100.5329
2020-01-09,100.8705
2020-01-10,101.0455
2020-01-13,100.9708
2020-01-14,101.1006
2020-01-15,101.0271
2020-01-16,100.9532
2020-01-17,101.0223
2020-01-20,100.6559
2020-01-21,100.3288
2020-01-22,100.236
2020-01-23,100.053
2020-01-24,100.1359
2020-01-27,99.9741
2020-01-28,99.7117
2020-01-29,100.0239
2020-01-30,99.9988
2020-01-31,100.0323
2020-02-03,99.7672
2020-02-04,99.6786
2020-02-05,99.7206
2020-02-06,99.511
2020-02-07,99.6057
2020-02-10,99.5059
2020-02-11,99.4678
2020-02-12,99.368
2020-02-13,99.756
2020-02-14,99.7732
2020-02-17,99.5821
2020-02-18,99.7659
2020-02-19,99.5422
2020-02-20,99.6037
2020-02-21,99.2332
2020-02-24,98.9895
2020-02-25,99.0483
2020-02-26,99.2144
2020-02-27,99.2682
2020-02-28,99.2651
2020-03-02,99.2252
2020-03-03,98.9516
2020-03-04,98.8289
2020-03-05,98.7577
2020-03-06,98.9862
2020-03-09,99.074
2020-03-10,98.7445
2020-03-11,98.8283
2020-03-12,98.7719
2020-03-13,98.6579
2020-03-16,98.7984
2020-03-17,99.0218
2020-03-18,99.2261
2020-03-19,99.0794
2020-03-20,99.0379
2020-03-23,99.1234
2020-03-24,99.3366
2020-03-25,99.2612
2020-03-26,99.2442
2020-03-27,99.0445
2020-03-30,98.8273
2020-03-31,99.0077
2020-04-01,99.2961
2020-04-02,99.3016
2020-04-03,99.5208
2020-04-06,99.6127
2020-04-07,99.5041
2020-04-08,99.5959
2020-04-09,99.9222
2020-04-10,99.935
2020-04-13,100.2677
2020-04-14,99.7624
2020-04-15,99.9464
2020-04-16,99.9838
2020-04-17,99.944
2020-04-20,99.9823
2020-04-21,99.6048
2020-04-22,99.581
2020-04-23,99.672
2020-04-24,99.9866
2020-04-27,99.9029
2020-04-28,99.7614
2020-04-29,99.6812
2020-04-30,99.8837
2020-05-01,99.9693
2020-05-04,99.8834
2020-05-05,100.0059
2020-05-06,100.0453
2020-05-07,100.2591
2020-05-08,100.1384
2020-05-11,100.0928
2020-05-12,100.0343
2020-05-13,99.7615
2020-05-14,99.8406
2020-05-15,99.9127
2020-05-18,99.9337
2020-05-19,99.9068
2020-05-20,99.6439
2020-05-21,99.58
2020-05-22,99.5317
2020-05-25,99.3919
2020-05-26,99.3797
2020-05-27,99.4799
2020-05-28,99.8751
2020-05-29,99.9299
2020-06-01,100.0014
2020-06-02,100.0065
2020-06-03,99.6427
2020-06-04,99.6574
2020-06-05,99.6893
2020-06-08,100.2004
2020-06-09,100.1819
2020-06-10,100.2623
2020-06-11,100.2754
2020-06-12,100.0611
2020-06-15,100.3098
2020-06-16,100.4807
2020-06-17,100.6598
2020-06-18,100.4968
2020-06-19,100.7989
2020-06-22,100.5364
2020-06-23,100.6745
2020-06-24,101.1357
2020-06-25,100.9556
2020-06-26,100.8614
2020-06-29,100.9017
2020-06-30,100.8203
2020-07-01,100.5278
2020-07-02,100.5617
2020-07-03,100.3681
2020-07-06,100.4833
2020-07-07,100.3186
2020-07-08,100.6496
2020-07-09,100.5121
2020-07-10,100.4674
2020-07-13,100.651
2020-07-14,100.4234
2020-07-15,100.4891
2020-07-16,100.7719
2020-07-17,100.4681
2020-07-20,100.5253
2020-07-21,100.5977
2020-07-22,100.7751
2020-07-23,100.5459
2020-07-24,100.3005
2020-07-27,100.4253
2020-07-28,100.505
2020-07-29,100.5754
2020-07-30,100.6653
2020-07-31,100.5485
2020-08-03,100.6153
2020-08-04,100.6944
2020-08-05,100.5707
2020-08-06,100.9661
2020-08-07,101.0819
2020-08-10,100.8613
2020-08-11,101.0139
2020-08-12,100.8372
2020-08-13,101.0161
2020-08-14,101.2704
2020-08-17,101.1244
2020-08-18,101.3395
2020-08-19,101.4434
2020-08-20,101.6305
2020-08-21,102.0364
2020-08-24,102.0067
2020-08-25,101.8733
2020-08-26,101.7125
2020-08-27,101.5669
2020-08-28,101.5715
2020-08-31,101.6611
2020-09-01,101.7377
2020-09-02,101.9264
2020-09-03,101.9494
2020-09-04,102.2662
2020-09-07,102.2325
2020-09-08,102.8091
2020-09-09,102.9583
2020-09-10,102.8024
2020-09-11,102.6028
2020-09-14,102.7223
2020-09-15,102.697
2020-09-16,102.8642
2020-09-17,102.9821
2020-09-18,102.9877
2020-09-21,102.8339
2020-09-22,102.5429
2020-09-23,102.4718
2020-09-24,102.6678
2020-09-25,102.7323
2020-09-28,102.4969
2020-09-29,102.5529
2020-09-30,102.6524
2020-10-01,102.4915
2020-10-02,102.5435
2020-10-05,102.576
2020-10-06,102.362
2020-10-07,102.4557
2020-10-08,102.5911
2020-10-09,102.8339
2020-10-12,103.0712
2020-10-13,102.8078
2020-10-14,102.6355
2020-10-15,102.7618
2020-10-16,102.8879
2020-10-19,103.0145
2020-10-20,103.8288
2020-10-21,103.9682
2020-10-22,104.2251
2020-10-23,104.4448
2020-10-26,104.6017
2020-10-27,104.5567
2020-10-28,104.7363
2020-10-29,104.5954
2020-10-30,104.5668
2020-11-02,104.4862
2020-11-03,104.5242
2020-11-04,105.029
2020-11-05,104.6577
2020-11-06,104.8223
2020-11-09,104.5052
2020-11-10,104.4274
2020-11-11,104.6758
2020-11-12,104.7102
2020-11-13,104.5054
2020-11-16,104.3768
2020-11-17,104.5395
2020-11-18,104.4077
2020-11-19,104.4738
2020-11-20,104.5042
2020-11-23,104.3889
2020-11-24,104.8574
2020-11-25,105.0113
2020-11-26,104.607
2020-11-27,104.667
2020-11-30,104.5494
2020-12-01,104.7485
2020-12-02,104.6034
2020-12-03,104.6003
2020-12-04,104.7269
2020-12-07,104.9292
2020-12-08,104.6983
2020-12-09,104.6492
2020-12-10,104.5707
2020-12-11,104.455
2020-12-14,104.8447
2020-12-15,104.9506
2020-12-16,104.7069
2020-12-17,104.9201
2020-12-18,105.3864
2020-12-21,105.6251
2020-12-22,105.3252
2020-12-23,105.2443
2020-12-24,105.532
2020-12-25,105.4037
2020-12-28,105.5184
2020-12-29,105.703
2020-12-30,105.5281
2020-12-31,105.5367
2021-01-01,104.8736
2021-01-04,104.6798
2021-01-05,104.6478
2021-01-06,104.4076
2021-01-07,104.7693
2021-01-08,104.4906
2021-01-11,104.4196
2021-01-12,104.4677
2021-01-13,104.7898
2021-01-14,104.5098
2021-01-15,104.7738
2021-01-18,104.7969
2021-01-19,104.6122
2021-01-20,104.7298
2021-01-21,104.7924
2021-01-22,104.6876
2021-01-25,104.7231
2021-01-26,104.6634
